unidad,categoria,variable,subvariable
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Divisas
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,DEG
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Oro
millones de $us,Operaciones con el exterior,Reservas internacionales brutas del BCB,Posición con el FMI
millones de $us,Operaciones con el exterior,Total Activos Externos,1. Reservas internacionales netas del BCB
millones de $us,Operaciones con el exterior,Total Activos Externos,2. Activos externos netos de entidades financieras de intermediación
millones de $us,Operaciones con el exterior,Total Activos Externos,d/c Fondo RAL en ME
millones de $us,Operaciones con el exterior,Total Activos Externos,3. Fondo para la Revolución Industrial Productiva (FINPRO)
millones de $us,Operaciones con el exterior,Total Activos Externos,4. Fondos  de Protección (FPA y FPAH en ME)14
millones de $us,Operaciones con el exterior,Total Activos Externos,5. Fondo Para la Inversión Exploracion y Explotacion de Hidrocarburos (FPIEEH)
millones de $us,Operaciones con el exterior,Adjudicación de dólares en el Bolsín  - Sistema Financiero,
millones de $us,Operaciones con el exterior,Adjudicación de dólares en el Bolsín  - Sector Privado,
millones de $us,Operaciones con el exterior,Adjudicación de dólares en Ventas Directas - Sistema Financiero,
millones de $us,Operaciones con el exterior,Adjudicación de dólares en Ventas Directas  - Sector Privado,
millones de $us,Operaciones con el exterior,Compras de dólares al Sistema Financiero por el BCB,
millones de $us,Operaciones con el exterior,Transferencias del exterior al  Sistema Financiero a través del BCB,
millones de $us,Operaciones con el exterior,Transferencias del Sistema Financiero al exterior a través del BCB,
millones de Bs,Información monetaria,Base monetaria,
millones de Bs,Información monetaria,Emisión Monetaria,
millones de Bs,Información monetaria,Crédito interno neto del BCB (incluye obligaciones de mediano y largo plazo),
millones de Bs,Información monetaria,Crédito neto del BCB al Sector Público No financiero,Créditos del BCB al SPNF
millones de Bs,Información monetaria,Crédito neto del BCB al Sector Público No financiero,Depósitos del SPNF en el BCB
millones de Bs,Información monetaria,Crédito a otros sectores (financiero y privado),
millones de Bs,Información monetaria,Agregados Monetarios,M’1
millones de Bs,Información monetaria,Agregados Monetarios,M’2
millones de Bs,Información monetaria,Agregados Monetarios,M’3
%,Información monetaria,Participación de MN y UFV en Agregados Monetarios: M1 / M’1,
%,Información monetaria,Participación de MN y UFV en Agregados Monetarios: M2 / M’2,
%,Información monetaria,Participación de MN y UFV en Agregados Monetarios: M3 / M’3,
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,a)  Tesoro General de la Nación
millones de Bs,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,a)  Tesoro General de la Nación: MN y UFV
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,a)  Tesoro General de la Nación: ME y MVDOL
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,b)  Banco Central de Bolivia
