unidad,categoria,variable,subvariable
millones de Bs,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,b)  Banco Central de Bolivia: MN y UFV
millones de Bs,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,b)  Banco Central de Bolivia: MN y UFV (Del cual venta directa)
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Saldos netos de títulos,b)  Banco Central de Bolivia: ME y MVDOL
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Financiamiento de corto plazo al sistema financiero,a)  Créditos de Liquidez c/garantía del encaje legal en títulos
millones de Bs,Operaciones de mercado abierto y financiamiento del BCB,Financiamiento de corto plazo al sistema financiero,a)  Créditos de Liquidez c/garantía del encaje legal en títulos: MN y UFV
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Financiamiento de corto plazo al sistema financiero,a)  Créditos de Liquidez c/garantía del encaje legal en títulos: ME y MVDOL
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Financiamiento de corto plazo al sistema financiero,b)  Reportos
millones de Bs,Operaciones de mercado abierto y financiamiento del BCB,Financiamiento de corto plazo al sistema financiero,b)  Reportos: MN y UFV
millones de $us,Operaciones de mercado abierto y financiamiento del BCB,Financiamiento de corto plazo al sistema financiero,b)  Reportos: ME y MVDOL
millones de $us,Operaciones del sistema financiero,Ahorro en el Sistema Financiero,
%,Operaciones del sistema financiero,Ahorro en el Sistema Financiero,Bolivianización
millones de $us,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,A la vista
%,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,A la vista: Bolivianización
millones de $us,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,Caja de ahorro
%,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,Caja de ahorro: Bolivianización
millones de $us,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,Plazo
%,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,Plazo: Bolivianización
millones de $us,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,Otros
%,Operaciones del sistema financiero,Depósitos en entidades de intermediación financiera,Otros: Bolivianización
millones de $us,Operaciones del sistema financiero,Encaje constituido por el sistema financiero,"Efectivo  MN, MV, UFV"
millones de $us,Operaciones del sistema financiero,Encaje constituido por el sistema financiero,"Títulos  MN, UFV"
millones de $us,Operaciones del sistema financiero,Encaje constituido por el sistema financiero,Efectivo  ME
millones de $us,Operaciones del sistema financiero,Encaje constituido por el sistema financiero,"Títulos  ME, MV"
millones de $us,Operaciones del sistema financiero,Excedente de Encaje en el BCB del sistema financiero ( en efectivo ),"MN, MV, UFV"
millones de $us,Operaciones del sistema financiero,Excedente de Encaje en el BCB del sistema financiero ( en efectivo ),ME
millones de $us,Operaciones del sistema financiero,Crédito del sistema financiero al sector privado,
%,Operaciones del sistema financiero,Crédito del sistema financiero al sector privado: Bolivianización,
Bs/$us,Tipos de cambio y valor de la UFV,Tipo de cambio de venta en el Bolsín,
Bs/$us,Tipos de cambio y valor de la UFV,Tipo de cambio de compra en el BCB,
Bs/$us,Tipos de cambio y valor de la UFV,Valor referencial de venta del dólar estadounidense,
Bs/$us,Tipos de cambio y valor de la UFV,Valor referencial de compra del dólar estadounidense,
base diciembre 2022=100,Tipos de cambio y valor de la UFV,Índice de tipo de cambio real,
Bs/UFV día hábil,Tipos de cambio y valor de la UFV,UFV día hábil,
Bs/UFV último día del mes,Tipos de cambio y valor de la UFV,UFV último día del mes,
%,Precios y tasas de interés,Inflacion total: variación mensual,
%,Precios y tasas de interés,Inflacion total: variación acumulada en el año,
%,Precios y tasas de interés,Inflacion total: variación a doce meses,
%,Precios y tasas de interés,Tasas premio de reporto del BCB: Moneda nacional,
%,Precios y tasas de interés,Tasas premio de reporto del BCB: Moneda extranjera,
