tipo,fecha,valor
DEG,2003-12-31,40.26877305
Divisas,2003-12-31,663.3013137300001
Oro,2003-12-31,379.40735524
Otros,2003-12-31,13.14050249999974
DEG,2005-01-31,40.61176703
Divisas,2005-01-31,715.09105949
Oro,2005-01-31,388.97255146
Otros,2005-01-31,13.497543749999863
DEG,2005-02-28,39.34371162
Divisas,2005-02-28,738.95856021
Oro,2005-02-28,396.63572921
Otros,2005-02-28,13.530469999999923
DEG,2005-03-31,39.01514404
Divisas,2005-03-31,729.48409237
Oro,2005-03-31,389.00916493000005
Otros,2005-03-31,13.389801249999948
DEG,2005-04-30,42.29682278
Divisas,2005-04-30,798.6077203599999
Oro,2005-04-30,392.89898771000003
Otros,2005-04-30,13.432667500000036
DEG,2005-05-31,40.0721594
Divisas,2005-05-31,797.69674344
Oro,2005-05-31,381.49261634
Otros,2005-05-31,13.180795000000103
DEG,2005-06-30,39.55285983
Divisas,2005-06-30,835.6750488
Oro,2005-06-30,398.61337585999996
Otros,2005-06-30,12.949867499999925
DEG,2005-07-31,39.393882579999996
Divisas,2005-07-31,922.3440338300001
Oro,2005-07-31,390.31134374
Otros,2005-07-31,12.869726249999985
DEG,2005-08-31,37.99602944
Divisas,2005-08-31,1009.60283781
Oro,2005-08-31,393.44330148
Otros,2005-08-31,12.95812124999992
DEG,2005-09-30,37.83203882
Divisas,2005-09-30,1016.05059876
Oro,2005-09-30,431.37721347999997
Otros,2005-09-30,12.873897499999828
DEG,2005-10-31,38.00137318
Divisas,2005-10-31,1131.1635293099998
Oro,2005-10-31,431.6802837
Otros,2005-10-31,12.887920000000122
DEG,2005-11-30,35.6784126
Divisas,2005-11-30,1235.8861462
Oro,2005-11-30,455.99818146
Otros,2005-11-30,12.659921250000082
DEG,2005-12-31,38.4084916
Divisas,2005-12-31,1276.6845350099998
Oro,2005-12-31,470.60968284999996
Otros,2005-12-31,12.683262500000069
DEG,2006-01-31,38.902615940000004
Divisas,2006-01-31,1269.9843906600001
Oro,2006-01-31,517.5883711
Otros,2006-01-31,12.812038749999715
DEG,2006-02-28,37.35581388
Divisas,2006-02-28,1338.97178274
Oro,2006-02-28,501.44719478
Otros,2006-02-28,12.758522499999913
DEG,2006-03-31,37.54359157
Divisas,2006-03-31,1440.91014518
Oro,2006-03-31,537.35915948
Otros,2006-03-31,12.785502499999893
DEG,2006-04-30,38.24226059
Divisas,2006-04-30,1601.8000102800002
Oro,2006-04-30,577.87261302
Otros,2006-04-30,12.986432500000205
DEG,2006-05-31,38.65662418
Divisas,2006-05-31,1764.00474691
Oro,2006-05-31,597.25511989
Otros,2006-05-31,13.255877499999997
DEG,2006-06-30,39.84511052
Divisas,2006-06-30,1890.4886164100003
Oro,2006-06-30,545.2038188500001
Otros,2006-06-30,13.021843749999903
DEG,2006-07-31,40.27329881
Divisas,2006-07-31,2053.32766394
Oro,2006-07-31,578.92945079
Otros,2006-07-31,13.119912499999828
DEG,2006-08-31,40.07773988
Divisas,2006-08-31,2166.09622004
Oro,2006-08-31,564.07675101
Otros,2006-08-31,13.191888749999748
DEG,2006-09-30,40.02209671
Divisas,2006-09-30,2296.12303974
Oro,2006-09-30,548.57213974
Otros,2006-09-30,13.131982500000163
DEG,2006-10-31,40.222986729999995
Divisas,2006-10-31,2378.6257712300003
Oro,2006-10-31,550.80144482
Otros,2006-10-31,13.153992499999617
DEG,2006-11-30,40.41434675
Divisas,2006-11-30,2450.0160594800004
Oro,2006-11-30,579.83994984
Otros,2006-11-30,13.36557249999953
DEG,2006-12-31,40.47677532
Divisas,2006-12-31,2561.22280285
Oro,2006-12-31,577.58968255
Otros,2006-12-31,13.340545000000247
DEG,2007-01-31,40.30712293
Divisas,2007-01-31,2611.17216254
Oro,2007-01-31,590.09882849
Otros,2007-01-31,13.238304999999741
DEG,2007-02-28,40.2007601
Divisas,2007-02-28,2728.3000187199996
Oro,2007-02-28,602.3775521599999
Otros,2007-02-28,13.360424999999964
DEG,2007-03-31,40.55450968
Divisas,2007-03-31,2889.6703707300003
Oro,2007-03-31,603.71745228
Otros,2007-03-31,13.430004999999483
DEG,2007-04-30,41.03050179
Divisas,2007-04-30,3072.9181400499997
Oro,2007-04-30,621.50596837
Otros,2007-04-30,13.54085375
DEG,2007-05-31,40.19129029
Divisas,2007-05-31,3206.75660715
Oro,2007-05-31,594.9852609
Otros,2007-05-31,13.418911249999999
DEG,2007-06-01,40.21441638
Divisas,2007-06-01,3238.3972391499997
Oro,2007-06-01,602.36041215
Otros,2007-06-01,13.4266325
DEG,2007-06-08,40.35317293999999
Divisas,2007-06-08,3240.25907772
Oro,2007-06-08,611.1978385799999
Otros,2007-06-08,13.472959999999999
DEG,2007-06-15,40.00787644
Divisas,2007-06-15,3204.9394123599996
Oro,2007-06-15,594.5251680900001
Otros,2007-06-15,13.35767375
DEG,2007-06-22,40.11686148
Divisas,2007-06-22,3209.8179865399998
Oro,2007-06-22,594.25184562
Otros,2007-06-22,13.39406125
DEG,2007-06-27,40.87459102
Divisas,2007-06-27,3382.2049386599997
Oro,2007-06-27,601.8864320800001
Otros,2007-06-27,13.60013875
DEG,2007-06-30,40.392602610000004
Divisas,2007-06-30,3242.38328283
Oro,2007-06-30,591.63683957
Otros,2007-06-30,13.4397675
DEG,2007-07-02,40.4254109
Divisas,2007-07-02,3261.9311164199994
Oro,2007-07-02,592.08782165
Otros,2007-07-02,13.45068375
DEG,2007-07-03,40.55531038
Divisas,2007-07-03,3282.2948194099995
Oro,2007-07-03,599.19876115
Otros,2007-07-03,13.493905
DEG,2007-07-04,40.581983789999995
Divisas,2007-07-04,3279.5133009899996
Oro,2007-07-04,595.60001534
Otros,2007-07-04,13.502780000000001
DEG,2007-07-05,40.581983789999995
Divisas,2007-07-05,3309.1128713499998
Oro,2007-07-05,596.41998274
Otros,2007-07-05,13.502780000000001
DEG,2007-07-06,40.63373018
Divisas,2007-07-06,3305.9597880399997
Oro,2007-07-06,592.7756831800001
Otros,2007-07-06,13.519997499999999
DEG,2007-07-09,40.823111360000006
Divisas,2007-07-09,3268.63187454
Oro,2007-07-09,607.89952635
Otros,2007-07-09,13.58301
DEG,2007-07-10,40.5899858
Divisas,2007-07-10,3277.6434893499995
Oro,2007-07-10,602.25086203
Otros,2007-07-10,13.5054425
DEG,2007-07-11,40.616659209999995
Divisas,2007-07-11,3278.4020287199996
Oro,2007-07-11,604.61965675
Otros,2007-07-11,13.514317499999999
DEG,2007-07-12,40.82204442
Divisas,2007-07-12,3279.56684999
Oro,2007-07-12,602.4831861199999
Otros,2007-07-12,13.582655
DEG,2007-07-13,40.86018739
Divisas,2007-07-13,3279.76690761
Oro,2007-07-13,608.26395631
Otros,2007-07-13,13.59534625
DEG,2007-07-17,40.823111360000006
Divisas,2007-07-17,3268.63187454
Oro,2007-07-17,607.89952635
Otros,2007-07-17,13.58301
DEG,2007-07-18,40.870323279999994
Divisas,2007-07-18,3285.5166360199996
Oro,2007-07-18,605.8040540999999
Otros,2007-07-18,13.59871875
DEG,2007-07-19,40.892462200000004
Divisas,2007-07-19,3312.0475357599994
Oro,2007-07-19,613.2748682
Otros,2007-07-19,13.606084999999998
DEG,2007-07-20,40.92553723
